Entities	main tasks per entity	ActiveObject total time (ms)	Monitor total time (ms)	ActiveObject side tasks mean	Monitor side tasks mean
10	1	34	118	2.0	1
10	18	999	174	232.0	18
10	35	2208	274	564.0	35
10	52	2747	413	679.0	52
10	69	7808	578	1958.0	69
10	86	6434	669	1639.0	86
10	103	6618	795	1669.0	103
10	120	5118	929	1257.0	120
10	137	6656	1045	1654.0	137
