Entities	main tasks per entity	ActiveObject total time (ms)	Monitor total time (ms)	ActiveObject side tasks mean	Monitor side tasks mean
1	3	16	114	6.0	3
8	3	384	31	108.0	3
15	3	393	46	60.0	3
22	3	2533	67	317.0	3
29	3	640	82	51.0	3
36	3	16207	108	1269.0	3
43	3	20873	128	1379.0	3
50	3	555	143	20.0	3
